"","uriProposicao","siglaTipo","numero","ano","codTema","tema","relevancia"
"1517","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269407","PL",238,2021,67,"Direito e Defesa do Consumidor",0
"1518","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269407","PL",238,2021,61,"Viação, Transporte e Mobilidade",0
"1519","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2273235","INC",239,2021,44,"Direitos Humanos e Minorias",0
"1520","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2273235","INC",239,2021,70,"Finanças Públicas e Orçamento",0
"1521","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2273238","INC",240,2021,44,"Direitos Humanos e Minorias",0
"1522","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2273238","INC",240,2021,70,"Finanças Públicas e Orçamento",0
"1523","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269413","PL",240,2021,34,"Administração Pública",0
"1524","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269413","PL",240,2021,56,"Saúde",0
"1525","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2273240","INC",241,2021,44,"Direitos Humanos e Minorias",0
"1526","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2273240","INC",241,2021,70,"Finanças Públicas e Orçamento",0
"1527","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2273243","INC",242,2021,44,"Direitos Humanos e Minorias",0
"1528","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2273243","INC",242,2021,70,"Finanças Públicas e Orçamento",0
"1529","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2273246","INC",243,2021,44,"Direitos Humanos e Minorias",0
"1530","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2273246","INC",243,2021,70,"Finanças Públicas e Orçamento",0
"1531","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269419","PL",243,2021,72,"Homenagens e Datas Comemorativas",0
"1532","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269419","PL",243,2021,61,"Viação, Transporte e Mobilidade",0
"1533","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2273249","INC",244,2021,44,"Direitos Humanos e Minorias",0
"1534","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2273249","INC",244,2021,70,"Finanças Públicas e Orçamento",0
"1535","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269420","PL",244,2021,34,"Administração Pública",0
"1536","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269420","PL",244,2021,56,"Saúde",0
"1537","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269421","PL",245,2021,55,"Relações Internacionais e Comércio Exterior",0
"1538","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269421","PL",245,2021,56,"Saúde",0
"1539","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2273253","INC",246,2021,44,"Direitos Humanos e Minorias",0
"1540","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2273253","INC",246,2021,70,"Finanças Públicas e Orçamento",0
"1541","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269422","PL",246,2021,37,"Comunicações",0
"1542","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269422","PL",246,2021,42,"Direito Civil e Processual Civil",0
"1543","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269422","PL",246,2021,67,"Direito e Defesa do Consumidor",0
"1544","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269430","PL",247,2021,43,"Direito Penal e Processual Penal",0
"1545","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269430","PL",247,2021,44,"Direitos Humanos e Minorias",0
"1546","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269430","PL",247,2021,56,"Saúde",0
"1547","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2273255","INC",248,2021,44,"Direitos Humanos e Minorias",0
"1548","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2273255","INC",248,2021,70,"Finanças Públicas e Orçamento",0
"1549","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269433","PL",248,2021,37,"Comunicações",0
"1550","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269433","PL",248,2021,67,"Direito e Defesa do Consumidor",0
"1551","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269433","PL",248,2021,66,"Indústria, Comércio e Serviços",0
"1552","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269433","PL",248,2021,60,"Turismo",0
"1553","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2273256","INC",249,2021,44,"Direitos Humanos e Minorias",0
"1554","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2273256","INC",249,2021,70,"Finanças Públicas e Orçamento",0
"1555","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269434","PL",249,2021,66,"Indústria, Comércio e Serviços",0
"1556","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269434","PL",249,2021,48,"Meio Ambiente e Desenvolvimento Sustentável",0
"1557","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2273257","INC",250,2021,44,"Direitos Humanos e Minorias",0
"1558","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2273257","INC",250,2021,70,"Finanças Públicas e Orçamento",0
"1559","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269435","PL",250,2021,39,"Esporte e Lazer",0
"1560","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269435","PL",250,2021,56,"Saúde",0
"1561","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2273258","INC",251,2021,44,"Direitos Humanos e Minorias",0
"1562","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2273258","INC",251,2021,70,"Finanças Públicas e Orçamento",0
"1563","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269436","PL",251,2021,44,"Direitos Humanos e Minorias",0
"1564","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269436","PL",251,2021,70,"Finanças Públicas e Orçamento",0
"1565","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269436","PL",251,2021,56,"Saúde",0
"1566","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269436","PL",251,2021,58,"Trabalho e Emprego",0
"1567","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2273259","INC",252,2021,44,"Direitos Humanos e Minorias",0
"1568","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2273259","INC",252,2021,70,"Finanças Públicas e Orçamento",0
"1569","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269437","PL",252,2021,44,"Direitos Humanos e Minorias",0
"1570","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269437","PL",252,2021,61,"Viação, Transporte e Mobilidade",0
"1571","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2273260","INC",253,2021,44,"Direitos Humanos e Minorias",0
"1572","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2273260","INC",253,2021,70,"Finanças Públicas e Orçamento",0
"1573","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269439","PL",253,2021,67,"Direito e Defesa do Consumidor",0
"1574","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269439","PL",253,2021,66,"Indústria, Comércio e Serviços",0
"1575","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2273261","INC",254,2021,44,"Direitos Humanos e Minorias",0
"1576","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2273261","INC",254,2021,70,"Finanças Públicas e Orçamento",0
"1577","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269440","PL",254,2021,54,"Energia, Recursos Hídricos e Minerais",0
"1578","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269440","PL",254,2021,48,"Meio Ambiente e Desenvolvimento Sustentável",0
"1579","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2273262","INC",255,2021,44,"Direitos Humanos e Minorias",0
"1580","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2273262","INC",255,2021,70,"Finanças Públicas e Orçamento",0
"1581","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269441","PL",255,2021,35,"Arte, Cultura e Religião",0
"1582","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269441","PL",255,2021,44,"Direitos Humanos e Minorias",0
"1583","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269441","PL",255,2021,70,"Finanças Públicas e Orçamento",0
"1584","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2273263","INC",256,2021,44,"Direitos Humanos e Minorias",0
"1585","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2273263","INC",256,2021,70,"Finanças Públicas e Orçamento",0
"1586","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269442","PL",256,2021,70,"Finanças Públicas e Orçamento",0
"1587","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2273264","INC",257,2021,44,"Direitos Humanos e Minorias",0
"1588","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2273264","INC",257,2021,70,"Finanças Públicas e Orçamento",0
"1589","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269443","PL",257,2021,57,"Defesa e Segurança",0
"1590","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269443","PL",257,2021,43,"Direito Penal e Processual Penal",0
"1591","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269443","PL",257,2021,56,"Saúde",0
"1592","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2273265","INC",258,2021,44,"Direitos Humanos e Minorias",0
"1593","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2273265","INC",258,2021,70,"Finanças Públicas e Orçamento",0
"1594","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269444","PL",258,2021,57,"Defesa e Segurança",0
"1595","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269444","PL",258,2021,44,"Direitos Humanos e Minorias",0
"1596","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269444","PL",258,2021,66,"Indústria, Comércio e Serviços",0
"1597","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2273266","INC",259,2021,44,"Direitos Humanos e Minorias",0
"1598","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2273266","INC",259,2021,70,"Finanças Públicas e Orçamento",0
"1599","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269445","PL",259,2021,57,"Defesa e Segurança",0
"1600","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269445","PL",259,2021,67,"Direito e Defesa do Consumidor",0
"1601","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269445","PL",259,2021,66,"Indústria, Comércio e Serviços",0
"1602","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2273267","INC",260,2021,44,"Direitos Humanos e Minorias",0
"1603","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2273267","INC",260,2021,70,"Finanças Públicas e Orçamento",0
"1604","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269446","PL",260,2021,67,"Direito e Defesa do Consumidor",0
"1605","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269446","PL",260,2021,66,"Indústria, Comércio e Serviços",0
"1606","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269446","PL",260,2021,56,"Saúde",0
