"","id","uri","data","dataHoraRegistro","idOrgao","uriOrgao","siglaOrgao","idEvento","uriEvento","aprovacao","votosSim","votosNao","votosOutros","descricao","ultimaAberturaVotacao_dataHoraRegistro","ultimaAberturaVotacao_descricao","ultimaApresentacaoProposicao_dataHoraRegistro","ultimaApresentacaoProposicao_descricao","ultimaApresentacaoProposicao_idProposicao","ultimaApresentacaoProposicao_uriProposicao"
"94","2270125-4","https://dadosabertos.camara.leg.br/api/v2/votacoes/2270125-4",2021-02-25,2021-02-25 11:38:22,6855,"https://dadosabertos.camara.leg.br/api/v2/orgaos/6855","CMO",60368,"https://dadosabertos.camara.leg.br/api/v2/eventos/60368",1,0,0,0,"Aprovado na 1ª Reunião Extraordinária em 25.2.2021, com o aditamento em que inclui os convidados representantes do Conselho Nacional de Saúde, Conselho Nacional de Secretários de Saúde (Conass) e Conselho Nacional de Secretarias Municipais de Saúde (Conasems).",NA,NA,2021-02-11 13:00:22,"Apresentação do Requerimento n. 1/2021, pela Deputada Carmen Zanotto (CIDADANIA-SC), que: ""Solicito que sejam enviados convites aos Ministérios da Saúde e Economia, para, em audiência pública, discorrer sobre o orçamento do Ministério da Saúde apresentado no Projeto de Lei Orçamentária Anual para 2021 -  PLN nº 28/2020"".",0,NA
"95","2270224-3","https://dadosabertos.camara.leg.br/api/v2/votacoes/2270224-3",2021-02-25,2021-02-25 11:41:42,6855,"https://dadosabertos.camara.leg.br/api/v2/orgaos/6855","CMO",60368,"https://dadosabertos.camara.leg.br/api/v2/eventos/60368",1,0,0,0,"Aprovado na 1ª Reunião Extraordinária em 25.2.21",NA,NA,2021-02-11 18:32:47,"Apresentação do Requerimento de Audiência Pública n. 2/2021, pelo Deputado José Nelto (PODE-GO), que: ""Requer a realização de audiência pública no âmbito da Comissão Mista de Planos, Orçamentos Públicos e Fiscalização - CMO para debater os cortes no orçamento da assistência social"".",0,NA
"96","2270857-4","https://dadosabertos.camara.leg.br/api/v2/votacoes/2270857-4",2021-02-25,2021-02-25 14:41:37,6855,"https://dadosabertos.camara.leg.br/api/v2/orgaos/6855","CMO",60368,"https://dadosabertos.camara.leg.br/api/v2/eventos/60368",1,0,0,0,"Aprovado na 1ª Reunião Extraordinária em 25.2.21 com a inclusão do convite para o Conselho Nacional de Secretários Estaduais de Educação (CONSED), União Nacional dos Dirigentes Municipais de Educação (UNDIME), Conselho Nacional das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica (CONIF) e Associação Nacional dos Dirigentes das Instituições Federais de Ensino Superior (ANDIFES).",NA,NA,2021-02-24 17:39:54,"Apresentação do Requerimento n. 3/2021, pela Deputada Professora Dorinha Seabra Rezende (DEM-TO), que: ""Solicito que sejam enviados convites aos Ministérios da Economia e da Educação, para, em audiência pública, seus titulares possam discorrer sobre a execução do orçamento de 2020 do Ministério da Educação e sobre a proposta orçamentária apresentada no projeto de Lei Orçamentária Anual para 2021 - PLN nº 28/2020"".",0,NA
"97","2270340-4","https://dadosabertos.camara.leg.br/api/v2/votacoes/2270340-4",2021-02-25,2021-02-25 11:25:29,6855,"https://dadosabertos.camara.leg.br/api/v2/orgaos/6855","CMO",60368,"https://dadosabertos.camara.leg.br/api/v2/eventos/60368",1,0,0,0,"Aprovado.",NA,NA,2021-02-17 15:42:44,"Apresentação da Proposta de Instrução Normativa n. 1/2021, pela Deputada Flávia Arruda (PL-DF), que: ""Regula os procedimentos para apresentação de emendas ao Projeto de Lei Orçamentária para 2021 (PL nº 28, de 2020-CN)"".",0,NA
"98","2270340-6","https://dadosabertos.camara.leg.br/api/v2/votacoes/2270340-6",2021-02-25,2021-02-25 12:09:38,6855,"https://dadosabertos.camara.leg.br/api/v2/orgaos/6855","CMO",60368,"https://dadosabertos.camara.leg.br/api/v2/eventos/60368",1,0,0,0,"Aprovado.",NA,NA,2021-02-17 15:42:44,"Apresentação da Proposta de Instrução Normativa n. 1/2021, pela Deputada Flávia Arruda (PL-DF), que: ""Regula os procedimentos para apresentação de emendas ao Projeto de Lei Orçamentária para 2021 (PL nº 28, de 2020-CN)"".",0,NA
"99","2270800-40","https://dadosabertos.camara.leg.br/api/v2/votacoes/2270800-40",2021-02-25,2021-02-25 16:54:43,180,"https://dadosabertos.camara.leg.br/api/v2/orgaos/180","PLEN",60432,"https://dadosabertos.camara.leg.br/api/v2/eventos/60432",0,136,237,3,"Rejeitado o Requerimento. Sim: 136; não: 237; abstenção: 2; total: 375.",NA,NA,NA,"Apresentação do Requerimento n. 296/2021, pelo Deputado Ricardo Silva (PSB/SP), que ""retirada de assinatura de pec 03 2021"".",2270892,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270892"
"100","2270800-53","https://dadosabertos.camara.leg.br/api/v2/votacoes/2270800-53",2021-02-25,2021-02-25 17:38:44,180,"https://dadosabertos.camara.leg.br/api/v2/orgaos/180","PLEN",60432,"https://dadosabertos.camara.leg.br/api/v2/eventos/60432",0,161,296,3,"Rejeitado o Requerimento. Sim: 161; não: 296; abstenção: 2; total: 459.",NA,NA,2021-02-25 17:18:06,"Parecer proferido em Plenário pela Relatora, Dep. Margarete Coelho (PP-PI), pela Comissão Especial, que conclui pela aprovação da Proposta de Emenda à Constituição nº 3, de 2021, nos termos do Substitutivo apresentado.",2270957,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270957"
"101","2270800-54","https://dadosabertos.camara.leg.br/api/v2/votacoes/2270800-54",2021-02-25,2021-02-25 17:44:37,180,"https://dadosabertos.camara.leg.br/api/v2/orgaos/180","PLEN",60432,"https://dadosabertos.camara.leg.br/api/v2/eventos/60432",0,0,0,0,"Rejeitado o Requerimento.",NA,NA,2021-02-25 17:18:06,"Parecer proferido em Plenário pela Relatora, Dep. Margarete Coelho (PP-PI), pela Comissão Especial, que conclui pela aprovação da Proposta de Emenda à Constituição nº 3, de 2021, nos termos do Substitutivo apresentado.",2270957,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270957"
"102","2270800-61","https://dadosabertos.camara.leg.br/api/v2/votacoes/2270800-61",2021-02-25,2021-02-25 19:19:56,180,"https://dadosabertos.camara.leg.br/api/v2/orgaos/180","PLEN",60432,"https://dadosabertos.camara.leg.br/api/v2/eventos/60432",1,305,151,2,"Aprovado o Requerimento. Sim: 305; não: 151; abstenção: 1; total: 457.",NA,NA,2021-02-25 17:18:06,"Parecer proferido em Plenário pela Relatora, Dep. Margarete Coelho (PP-PI), pela Comissão Especial, que conclui pela aprovação da Proposta de Emenda à Constituição nº 3, de 2021, nos termos do Substitutivo apresentado.",2270957,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270957"
"103","2270800-62","https://dadosabertos.camara.leg.br/api/v2/votacoes/2270800-62",2021-02-25,2021-02-25 19:44:38,180,"https://dadosabertos.camara.leg.br/api/v2/orgaos/180","PLEN",60432,"https://dadosabertos.camara.leg.br/api/v2/eventos/60432",0,149,307,2,"Rejeitado o Requerimento. Sim: 149; não: 307; abstenção: 1; total: 457.",NA,NA,2021-02-25 17:18:06,"Parecer proferido em Plenário pela Relatora, Dep. Margarete Coelho (PP-PI), pela Comissão Especial, que conclui pela aprovação da Proposta de Emenda à Constituição nº 3, de 2021, nos termos do Substitutivo apresentado.",2270957,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270957"
