id_parlamentar;id_parlamentar_parlametria;casa;legislatura;nome;partido;uf;situacao;em_exercicio;governismo;disciplina;partido_disciplina;partido_atual;votos_validos;num_seguiu;bancada_suficiente;;;;;;;;;;
160569;1160569;camara;54;Waldenor Pereira;PT;BA;Titular;1;-6,252549121;0,913419913;PT;PT;462;422;VERDADEIRO;;;;;;;;;;
160556;1160556;camara;54;Padre João;PT;MG;Titular;1;-6,250488336;0,954022989;PT;PT;522;498;VERDADEIRO;;;;;;;;;;
160508;1160508;camara;54;Afonso Florence;PT;BA;Titular;1;-6,222462107;0,949186992;PT;PT;492;467;VERDADEIRO;;;;;;;;;;
204503;1204503;camara;56;Alexandre Padilha;PT;SP;Titular;1;-6,135783749;0,959266802;PT;PT;491;471;VERDADEIRO;;;;;;;;;;
160604;1160604;camara;54;Pedro Uczai;PT;SC;Titular;1;-6,126124752;0,944444444;PT;PT;486;459;VERDADEIRO;;;;;;;;;;
178873;1178873;camara;55;Helder Salomão;PT;ES;Titular;1;-6,101737352;0,93592233;PT;PT;515;482;VERDADEIRO;;;;;;;;;;
204467;1204467;camara;56;Professora Rosa Neide;PT;MT;Titular;1;-6,071770965;0,935238095;PT;PT;525;491;VERDADEIRO;;;;;;;;;;
204492;1204492;camara;56;Paulo Guedes;PT;MG;Titular;1;-6,068640735;0,931481481;PT;PT;540;503;VERDADEIRO;;;;;;;;;;
141516;1141516;camara;53;Paulo Abi-Ackel;PSDB;MG;Titular;1;2,260857878;0,876847291;PSDB;PSDB;406;356;VERDADEIRO;;;;;;;;;;
160575;1160575;camara;54;Erika Kokay;PT;DF;Titular;1;-6,057389269;0,932806324;PT;PT;506;472;VERDADEIRO;;;;;;;;;;
74160;174160;camara;52;Patrus Ananias;PT;MG;Titular;1;-5,91681304;0,947046843;PT;PT;491;465;VERDADEIRO;;;;;;;;;;
178857;1178857;camara;55;Jorge Solla;PT;BA;Titular;1;-5,904361974;0,934108527;PT;PT;516;482;VERDADEIRO;;;;;;;;;;
160592;1160592;camara;54;Zeca Dirceu;PT;PR;Titular;1;-5,794699194;0,941176471;PT;PT;408;384;VERDADEIRO;;;;;;;;;;
178866;1178866;camara;55;Luizianne Lins;PT;CE;Titular;0;-5,785784167;0,943113772;PT;PT;334;315;VERDADEIRO;;;;;;;;;;
160610;1160610;camara;54;Valmir Assunção;PT;BA;Titular;1;-5,770613043;0,944954128;PT;PT;545;515;VERDADEIRO;;;;;;;;;;
204555;1204555;camara;56;José Ricardo;PT;AM;Titular;1;-5,661386242;0,934362934;PT;PT;518;484;VERDADEIRO;;;;;;;;;;
204393;1204393;camara;56;Frei Anastacio Ribeiro;PT;PB;Titular;1;-5,297845573;0,887037037;PT;PT;540;479;VERDADEIRO;;;;;;;;;;
178889;1178889;camara;55;Zé Carlos;PT;MA;Titular;1;-5,24493642;0,921787709;PT;PT;537;495;VERDADEIRO;;;;;;;;;;
107283;1107283;camara;56;Gleisi Hoffmann;PT;PR;Titular;1;-5,235706823;0,950146628;PT;PT;341;324;VERDADEIRO;;;;;;;;;;
146788;1146788;camara;55;Marcelo Aro;PP;MG;Titular;1;5,425280031;0,950520833;PP;PP;384;365;VERDADEIRO;;;;;;;;;;
141464;1141464;camara;53;José Airton Félix Cirilo;PT;CE;Titular;1;-5,231034825;0,946784922;PT;PT;451;427;VERDADEIRO;;;;;;;;;;
73482;173482;camara;51;Henrique Fontana;PT;RS;Titular;1;-5,168964691;0,934653465;PT;PT;505;472;VERDADEIRO;;;;;;;;;;
