"","id","uri","sigla","nome","apelido","codTipoOrgao","tipoOrgao","nomePublicacao"
"297",10031,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10031","SINPROVERP","Sind. Propag. Vend. Prod. Farmac. S. J. Rio Preto Região","dez/2011",70000,"Sociedade Civil","dez/2011"
"298",10033,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10033","COAUD","Coordenação de Audiovisual da Câmara dos Deputados","Coordenação de Audiovisual da Câmara dos Deputados",12000,"Órgão da Câmara dos Deputados","Coordenação de Audiovisual da Câmara dos Deputados"
"299",10034,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10034","","Diretor da Consultoria Legislativa","Diretor da Consultoria Legislativa",12000,"Órgão da Câmara dos Deputados","Diretor da Consultoria Legislativa"
"300",10035,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10035","PT","Liderança do Partido dos Trabalhadores","Liderança do PT",80000,"Liderança","Liderança do PT"
"301",10036,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10036","PSL","Liderança do Partido Social Liberal","Liderança do PSL",80000,"Liderança","Liderança do PSL"
"302",10037,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10037","PL","Liderança do Partido Liberal","Liderança do PL",80000,"Liderança","Liderança do PL"
"303",10038,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10038","REPPHS","Representação do Partido Humanista da Solidariedade","Representação do PHS",80000,"Liderança","Representação do PHS"
"304",10039,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10039","PP","Liderança do Partido Progressista","Liderança do PP",80000,"Liderança","Liderança do PP"
"305",10040,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10040","MDB","Liderança do Movimento Democrático Brasileiro","Liderança do MDB",80000,"Liderança","Liderança do MDB"
"306",10042,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10042","PSDB","Liderança do Partido da Social Democracia Brasileira","Liderança do PSDB",80000,"Liderança","Liderança do PSDB"
"307",10043,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10043","REPUBLICAN","Liderança do Republicanos","Liderança do Republicanos",80000,"Liderança","Liderança do Republicanos"
"308",10044,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10044","PSOL","Liderança do Partido Socialismo e Liberdade","Liderança do PSOL",80000,"Liderança","Liderança do PSOL"
"309",10045,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10045","","Secretaria Geral da Mesa","Secretaria Geral da Mesa",12000,"Órgão da Câmara dos Deputados","Secretaria Geral da Mesa"
"310",10046,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10046","Anatel","Agência Nacional de Telecomunicações","Agência Nacional de Telecomunicações",30000,"Órgão do Poder Executivo","Agência Nacional de Telecomunicações"
"311",10047,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10047","CVM","Comissões de valores Mobiliários","Comissões de valores Mobiliários",30000,"Órgão do Poder Executivo","Comissões de valores Mobiliários"
"312",10048,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10048","DPF","Polícia Federal","Polícia Federal",30000,"Órgão do Poder Executivo","Polícia Federal"
"313",10049,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10049","RFB","Secretaria da Receita Federal do Brasil","Secretaria da Receita Federal do Brasil",30000,"Órgão do Poder Executivo","Secretaria da Receita Federal do Brasil"
"314",10050,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10050","13VJFPR","13ª Vara Federal de Curitiba-PR","13ª Vara Federal de Curitiba-PR",50000,"Órgão do Poder Judiciário","13ª Vara Federal de Curitiba-PR"
"315",10051,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10051","","Sérgio Fernando Moro - Juiz Federal","Sérgio Fernando Moro - Juiz Federal",50000,"Órgão do Poder Judiciário","Sérgio Fernando Moro - Juiz Federal"
"316",10052,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10052","","Presidente da Câmara Municipal de Rosário - MA","Presidente da Câmara Municipal de Rosário - MA",40000,"Órgão do Poder Legislativo","Presidente da Câmara Municipal de Rosário - MA"
"317",10053,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10053","PRESI-TCU","Presidência do Tribunal de Contas da União","Presidência do Tribunal de Contas da União",40000,"Órgão do Poder Legislativo","Presidência do Tribunal de Contas da União"
"318",10054,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10054","","Alber Vale de Paula","Alber Vale de Paula",70000,"Sociedade Civil","Alber Vale de Paula"
"319",10055,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10055","AmNet","America Net LTDA","America Net LTDA",70000,"Sociedade Civil","America Net LTDA"
"320",10056,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10056","BTG","Banco BTG Pactual S.A.","Banco BTG Pactual S.A.",70000,"Sociedade Civil","Banco BTG Pactual S.A."
"321",10057,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10057","Santander","Banco Santander","Banco Santander",70000,"Sociedade Civil","Banco Santander"
"322",10058,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10058","","BT Comunications do Brasil Ltda","BT Comunications do Brasil Ltda",70000,"Sociedade Civil","BT Comunications do Brasil Ltda"
"323",10059,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10059","","Comtrac Eletrônica Eireli","Comtrac Eletrônica Eireli",70000,"Sociedade Civil","Comtrac Eletrônica Eireli"
"324",10060,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10060","","Beatriz Catta Preta","Beatriz Catta Preta",70000,"Sociedade Civil","Beatriz Catta Preta"
"325",10061,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10061","","Erton Medeiros Fonseca (por seus advogados)","Erton Medeiros Fonseca (por seus advogados)",70000,"Sociedade Civil","Erton Medeiros Fonseca (por seus advogados)"
"326",10062,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10062","","Fernando de Castro Sá","Fernando de Castro Sá",70000,"Sociedade Civil","Fernando de Castro Sá"
"327",10063,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10063","","Presidência da Petrobras","Presidência da Petrobras",70000,"Sociedade Civil","Presidência da Petrobras"
"328",10064,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10064","","H Telecom","H Telecom",70000,"Sociedade Civil","H Telecom"
"329",10065,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10065","","Ibituruna TV por Assinatura LTDA","Ibituruna TV por Assinatura LTDA",70000,"Sociedade Civil","Ibituruna TV por Assinatura LTDA"
"330",10066,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10066","","Janildo Guedes Soares, Assessor do Ministro da CGU","Janildo Guedes Soares, Assessor do Ministro da CGU",70000,"Sociedade Civil","Janildo Guedes Soares, Assessor do Ministro da CGU"
"331",10067,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10067","","Julio Faerman","Julio Faerman",70000,"Sociedade Civil","Julio Faerman"
"332",10068,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10068","","Leonardo Carvalho Rangel","Leonardo Carvalho Rangel",70000,"Sociedade Civil","Leonardo Carvalho Rangel"
"333",10069,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10069","","Ligue telecomunicações LTDA","Ligue telecomunicações LTDA",70000,"Sociedade Civil","Ligue telecomunicações LTDA"
"334",10070,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10070","","Luiz Eduardo Guimarães Carneiro","Luiz Eduardo Guimarães Carneiro",70000,"Sociedade Civil","Luiz Eduardo Guimarães Carneiro"
"335",10071,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10071","","Dialdata Telecomunicações Ltda.","Dialdata Telecomunicações Ltda.",70000,"Sociedade Civil","Dialdata Telecomunicações Ltda."
"336",10072,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10072","","Oi S.A.","Oi S.A.",70000,"Sociedade Civil","Oi S.A."
"337",10073,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10073","","Petrobras","Petrobras",70000,"Sociedade Civil","Petrobras"
"338",10074,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10074","","Renato Sanches","Renato Sanches",70000,"Sociedade Civil","Renato Sanches"
"339",10075,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10075","","Sercomtel","Sercomtel",70000,"Sociedade Civil","Sercomtel"
"340",10076,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10076","","Spin Telecomunicações","Spin Telecomunicações",70000,"Sociedade Civil","Spin Telecomunicações"
"341",10077,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10077","","Telexperts Telecomunicações Ltda","Telexperts Telecomunicações Ltda",70000,"Sociedade Civil","Telexperts Telecomunicações Ltda"
"342",10078,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10078","","TVN Nacional Telecom Ltda","TVN Nacional Telecom Ltda",70000,"Sociedade Civil","TVN Nacional Telecom Ltda"
"343",10079,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10079","VIVO","VIVO Telefônica","VIVO Telefônica",70000,"Sociedade Civil","VIVO Telefônica"
"344",10080,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10080","Algar","Algar Telecom","Algar Telecom",70000,"Sociedade Civil","Algar Telecom"
"345",10081,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10081","","Cabo Telecom","Cabo Telecom",70000,"Sociedade Civil","Cabo Telecom"
"346",10082,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10082","","Datora Telecomunicações Ltda","Datora Telecomunicações Ltda",70000,"Sociedade Civil","Datora Telecomunicações Ltda"
"347",10083,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10083","","Falkland Tecnologia em Telecomunicações S/A","Falkland Tecnologia em Telecomunicações S/A",70000,"Sociedade Civil","Falkland Tecnologia em Telecomunicações S/A"
"348",10084,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10084","","Hello Brazil Telecomunicações Eireli","Hello Brazil Telecomunicações Eireli",70000,"Sociedade Civil","Hello Brazil Telecomunicações Eireli"
"349",10085,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10085","","Jansem Ferreira as Silva","Jansem Ferreira as Silva",70000,"Sociedade Civil","Jansem Ferreira as Silva"
"350",10086,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10086","","Level 3 Comunicações do Brasil LTDA","Level 3 Comunicações do Brasil LTDA",70000,"Sociedade Civil","Level 3 Comunicações do Brasil LTDA"
"351",10087,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10087","","Mundivox Telecomunicações Ltda","Mundivox Telecomunicações Ltda",70000,"Sociedade Civil","Mundivox Telecomunicações Ltda"
"352",10088,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10088","","TIM","TIM",70000,"Sociedade Civil","TIM"
"353",10089,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10089","ANP","Agência Nacional de Petróleo, Gás Natural e Biocombustíveis","Agência Nacional de Petróleo, Gás Natural e Biocombustíveis",30000,"Órgão do Poder Executivo","Agência Nacional de Petróleo, Gás Natural e Biocombustíveis"
"354",10090,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10090","","Chefe de Gabinete da Diretora-Geral da ANP","Chefe de Gabinete da Diretora-Geral da ANP",30000,"Órgão do Poder Executivo","Chefe de Gabinete da Diretora-Geral da ANP"
"355",10091,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10091","SNJ","Secretaria Nacional de Justiça","Secretaria Nacional de Justiça",50000,"Órgão do Poder Judiciário","Secretaria Nacional de Justiça"
"356",10092,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10092","BNP","Banco BNP Paribas Brasil S.A.","Banco BNP Paribas Brasil S.A.",70000,"Sociedade Civil","Banco BNP Paribas Brasil S.A."
"357",10093,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10093","BB","Banco do Brasil","Banco do Brasil",70000,"Sociedade Civil","Banco do Brasil"
"358",10094,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10094","","Bottini&tamasauskas Advogados","Bottini&tamasauskas Advogados",70000,"Sociedade Civil","Bottini&tamasauskas Advogados"
"359",10095,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10095","","Catta Preta Advogados","Catta Preta Advogados",70000,"Sociedade Civil","Catta Preta Advogados"
"360",10096,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10096","","Digi Soluções de Comunicação LTDA","Digi Soluções de Comunicação LTDA",70000,"Sociedade Civil","Digi Soluções de Comunicação LTDA"
"361",10097,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10097","","Eduardo Victor Pontes Carneiro","Eduardo Victor Pontes Carneiro",70000,"Sociedade Civil","Eduardo Victor Pontes Carneiro"
"362",10098,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10098","GVT","GVT - Global Village Telecom","GVT - Global Village Telecom",70000,"Sociedade Civil","GVT - Global Village Telecom"
"363",10099,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10099","","HIT Telecomunicações LTDA","HIT Telecomunicações LTDA",70000,"Sociedade Civil","HIT Telecomunicações LTDA"
"364",10100,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10100","Itaú","Itaú Unibanco S.A.","Itaú Unibanco S.A.",70000,"Sociedade Civil","Itaú Unibanco S.A."
"365",10101,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10101","","Jonathan Taylor","Jonathan Taylor",70000,"Sociedade Civil","Jonathan Taylor"
"366",10102,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10102","","Lafaiete Provedor de Internet e Telecomunicações Ltda","Lafaiete Provedor de Internet e Telecomunicações Ltda",70000,"Sociedade Civil","Lafaiete Provedor de Internet e Telecomunicações Ltda"
"367",10103,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10103","","Lúcio Henrique Xavier Lopes","Lúcio Henrique Xavier Lopes",70000,"Sociedade Civil","Lúcio Henrique Xavier Lopes"
"368",10104,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10104","","Manoel Amaral Alvim de Paula","Manoel Amaral Alvim de Paula",70000,"Sociedade Civil","Manoel Amaral Alvim de Paula"
"369",10105,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10105","","OpçãoNet Informática Ltda","OpçãoNet Informática Ltda",70000,"Sociedade Civil","OpçãoNet Informática Ltda"
"370",10106,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10106","","Ricardo Andrade Saadi","Ricardo Andrade Saadi",70000,"Sociedade Civil","Ricardo Andrade Saadi"
"371",10107,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10107","","Sete Brasil","Sete Brasil",70000,"Sociedade Civil","Sete Brasil"
"372",10108,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10108","","Telecom 65 LTDA","Telecom 65 LTDA",70000,"Sociedade Civil","Telecom 65 LTDA"
"373",10109,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10109","","TMAIS S.A.","TMAIS S.A.",70000,"Sociedade Civil","TMAIS S.A."
"374",10110,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10110","","Viacom Next Generation Comunicação LTDA","Viacom Next Generation Comunicação LTDA",70000,"Sociedade Civil","Viacom Next Generation Comunicação LTDA"
"375",10111,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10111","","Vona Telecomunicações Ltda","Vona Telecomunicações Ltda",70000,"Sociedade Civil","Vona Telecomunicações Ltda"
"376",10112,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10112","","Telecom South America S.A.","Telecom South America S.A.",70000,"Sociedade Civil","Telecom South America S.A."
"377",10113,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10113","","Transit do Brasil S/A","Transit do Brasil S/A",70000,"Sociedade Civil","Transit do Brasil S/A"
"378",10114,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10114","","Vipway Serviços de Telecomunicações LTDA","Vipway Serviços de Telecomunicações LTDA",70000,"Sociedade Civil","Vipway Serviços de Telecomunicações LTDA"
"379",10115,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10115","","Vonex Telecomunicações Ltda","Vonex Telecomunicações Ltda",70000,"Sociedade Civil","Vonex Telecomunicações Ltda"
"380",10116,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10116","","Ministro de Estado da Casa Civil","Ministro de Estado da Casa Civil",30000,"Órgão do Poder Executivo","Ministro de Estado da Casa Civil"
"381",10117,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10117","","Presidência do Senado Federal","Presidência do Senado Federal",22000,"Órgão do Senado Federal","Presidência do Senado Federal"
"382",10118,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10118","","Armando Toledo","Armando Toledo",70000,"Sociedade Civil","Armando Toledo"
"383",10119,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10119","","Celso Pansera","Celso Pansera",70000,"Sociedade Civil","Celso Pansera"
"384",10120,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10120","","IDT Brasil","IDT Brasil",70000,"Sociedade Civil","IDT Brasil"
"385",10121,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10121","","Luiz Flávio Borges D'urso","Luiz Flávio Borges D'urso",70000,"Sociedade Civil","Luiz Flávio Borges D'urso"
"386",10122,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10122","","Remota Comunicações LTDA","Remota Comunicações LTDA",70000,"Sociedade Civil","Remota Comunicações LTDA"
"387",10123,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10123","","Teixeira Ferreira Serrano advogados","Teixeira Ferreira Serrano advogados",70000,"Sociedade Civil","Teixeira Ferreira Serrano advogados"
"388",10124,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10124","","VoitelTelecomunicações LTDA","VoitelTelecomunicações LTDA",70000,"Sociedade Civil","VoitelTelecomunicações LTDA"
"389",10125,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10125","","Ministro de Estado de Minas e Energia","Ministro de Estado de Minas e Energia",30000,"Órgão do Poder Executivo","Ministro de Estado de Minas e Energia"
"390",10126,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10126","Brastel","Alpha Nobilis (Brastel Telecom)","Alpha Nobilis (Brastel Telecom)",70000,"Sociedade Civil","Alpha Nobilis (Brastel Telecom)"
"391",10127,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10127","Bradesco","Banco Bradesco","Banco Bradesco",70000,"Sociedade Civil","Banco Bradesco"
"392",10128,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10128","","Bruno Lupion","Bruno Lupion",70000,"Sociedade Civil","Bruno Lupion"
"393",10129,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10129","","Caio Almeida","Caio Almeida",70000,"Sociedade Civil","Caio Almeida"
"394",10130,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10130","Deputado","Celso Russomano","Celso Russomano",70000,"Sociedade Civil","Celso Russomano"
"395",10131,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10131","","Direta Telecomunicações LTDA","Direta Telecomunicações LTDA",70000,"Sociedade Civil","Direta Telecomunicações LTDA"
"396",10132,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10132","","Engevox Telecomunicações LTDA","Engevox Telecomunicações LTDA",70000,"Sociedade Civil","Engevox Telecomunicações LTDA"
"397",10133,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10133","","João Mestieri advogados","João Mestieri advogados",70000,"Sociedade Civil","João Mestieri advogados"
"398",10134,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10134","","Fonar Telecomunicação Brasileira LTDA","Fonar Telecomunicação Brasileira LTDA",70000,"Sociedade Civil","Fonar Telecomunicação Brasileira LTDA"
"399",10135,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10135","","Josianne de Menezes Lima - Assessora Parlamentar do TCU","Josianne de Menezes Lima - Assessora Parlamentar do TCU",70000,"Sociedade Civil","Josianne de Menezes Lima - Assessora Parlamentar do TCU"
"400",10136,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10136","","Líder do Governo na Câmara dos Deputados","Líder do Governo na Câmara dos Deputados",70000,"Sociedade Civil","Líder do Governo na Câmara dos Deputados"
"401",10137,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10137","","Maria das Graças Silva Foster","Maria das Graças Silva Foster",70000,"Sociedade Civil","Maria das Graças Silva Foster"
"402",10138,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10138","","Nextel Telecomunicações Ltda","Nextel Telecomunicações Ltda",70000,"Sociedade Civil","Nextel Telecomunicações Ltda"
"403",10139,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10139","","Outranet Telecom","Outranet Telecom",70000,"Sociedade Civil","Outranet Telecom"
"404",10140,"https://dadosabertos.camara.leg.br/api/v2/orgaos/10140","","Unicall","Unicall",70000,"Sociedade Civil","Unicall"
"405",90000,"https://dadosabertos.camara.leg.br/api/v2/orgaos/90000","LIDERES","Líderes","Líderes",80000,"Liderança","Líderes"
"406",91008,"https://dadosabertos.camara.leg.br/api/v2/orgaos/91008","BPSB","Bancada do PSB","Bancada do PSB",81000,"Bancada","Bancada do PSB"
"407",91009,"https://dadosabertos.camara.leg.br/api/v2/orgaos/91009","BPT","Bancada do PT","Bancada do PT",81000,"Bancada","Bancada do PT"
"408",91010,"https://dadosabertos.camara.leg.br/api/v2/orgaos/91010","BPMDB","Bancada do PMDB","Bancada do PMDB",81000,"Bancada","Bancada do PMDB"
"409",91011,"https://dadosabertos.camara.leg.br/api/v2/orgaos/91011","BPP","Bancada do PP","Bancada do PP",81000,"Bancada","Bancada do PP"
"410",91012,"https://dadosabertos.camara.leg.br/api/v2/orgaos/91012","BPSDB","Bancada do PSDB","Bancada do PSDB",81000,"Bancada","Bancada do PSDB"
"411",91013,"https://dadosabertos.camara.leg.br/api/v2/orgaos/91013","BDEM","Bancada do DEM","Bancada do DEM",81000,"Bancada","Bancada do DEM"
"412",91014,"https://dadosabertos.camara.leg.br/api/v2/orgaos/91014","BPR","Bancada do PR","Bancada do PR",81000,"Bancada","Bancada do PR"
"413",91015,"https://dadosabertos.camara.leg.br/api/v2/orgaos/91015","BPSB","Bancada do PSB","Bancada do PSB",81000,"Bancada","Bancada do PSB"
"414",91016,"https://dadosabertos.camara.leg.br/api/v2/orgaos/91016","BPSC","Bancada do PSC","Bancada do PSC",81000,"Bancada","Bancada do PSC"
"415",91017,"https://dadosabertos.camara.leg.br/api/v2/orgaos/91017","BPTB","Bancada do PTB","Bancada do PTB",81000,"Bancada","Bancada do PTB"
"416",91018,"https://dadosabertos.camara.leg.br/api/v2/orgaos/91018","BPDT","Bancada do PDT","Bancada do PDT",81000,"Bancada","Bancada do PDT"
"417",91019,"https://dadosabertos.camara.leg.br/api/v2/orgaos/91019","BPVPPS","Bancada do Bloco PV, PPS","Bancada do Bloco PV, PPS",81000,"Bancada","Bancada do Bloco PV, PPS"
"418",91020,"https://dadosabertos.camara.leg.br/api/v2/orgaos/91020","BPCdoB","Bancada do PCdoB","Bancada do PCdoB",81000,"Bancada","Bancada do PCdoB"
"419",91021,"https://dadosabertos.camara.leg.br/api/v2/orgaos/91021","BPRB","Bancada do PRB","Bancada do PRB",81000,"Bancada","Bancada do PRB"
"420",91022,"https://dadosabertos.camara.leg.br/api/v2/orgaos/91022","BPMN","Bancada do PMN","Bancada do PMN",81000,"Bancada","Bancada do PMN"
"421",91023,"https://dadosabertos.camara.leg.br/api/v2/orgaos/91023","BPTdoB","Bancada do PTdoB","Bancada do PTdoB",81000,"Bancada","Bancada do PTdoB"
"422",91024,"https://dadosabertos.camara.leg.br/api/v2/orgaos/91024","BPSOL","Bancada do PSOL","Bancada do PSOL",81000,"Bancada","Bancada do PSOL"
"423",91025,"https://dadosabertos.camara.leg.br/api/v2/orgaos/91025","BPHS","Bancada do PHS","Bancada do PHS",81000,"Bancada","Bancada do PHS"
"424",91026,"https://dadosabertos.camara.leg.br/api/v2/orgaos/91026","BPRTB","Bancada do PRTB","Bancada do PRTB",81000,"Bancada","Bancada do PRTB"
"425",91027,"https://dadosabertos.camara.leg.br/api/v2/orgaos/91027","BPRP","Bancada do PRP","Bancada do PRP",81000,"Bancada","Bancada do PRP"
"426",91028,"https://dadosabertos.camara.leg.br/api/v2/orgaos/91028","BPTC","Bancada do PTC","Bancada do PTC",81000,"Bancada","Bancada do PTC"
"427",91029,"https://dadosabertos.camara.leg.br/api/v2/orgaos/91029","BPSL","Bancada do PSL","Bancada do PSL",81000,"Bancada","Bancada do PSL"
"428",91031,"https://dadosabertos.camara.leg.br/api/v2/orgaos/91031","BPSD","Bancada do PSD","Bancada do PSD",81000,"Bancada","Bancada do PSD"
"429",91034,"https://dadosabertos.camara.leg.br/api/v2/orgaos/91034","BPEN","Bancada do PEN","Bancada do PEN",81000,"Bancada","Bancada do PEN"
"430",91035,"https://dadosabertos.camara.leg.br/api/v2/orgaos/91035","BPV","Bancada do PV","Bancada do PV",81000,"Bancada","Bancada do PV"
"431",91038,"https://dadosabertos.camara.leg.br/api/v2/orgaos/91038","BSD","Bancada do SD","Bancada do SD",81000,"Bancada","Bancada do SD"
"432",91039,"https://dadosabertos.camara.leg.br/api/v2/orgaos/91039","BPROS","Bancada do PROS","Bancada do PROS",81000,"Bancada","Bancada do PROS"
"433",91041,"https://dadosabertos.camara.leg.br/api/v2/orgaos/91041","BPSDC","Bancada do PSDC","Bancada do PSDC",81000,"Bancada","Bancada do PSDC"
"434",91044,"https://dadosabertos.camara.leg.br/api/v2/orgaos/91044","BPLPSL","Bancada do Bloco PL,PSL","Bancada do Bloco PL,PSL",81000,"Bancada","Bancada do Bloco PL,PSL"
"435",91045,"https://dadosabertos.camara.leg.br/api/v2/orgaos/91045","BPHS","Bancada do PHS","Bancada do PHS",81000,"Bancada","Bancada do PHS"
"436",91046,"https://dadosabertos.camara.leg.br/api/v2/orgaos/91046","BPDTPPS","Bancada do Bloco PDT,PPS","Bancada do Bloco PDT,PPS",81000,"Bancada","Bancada do Bloco PDT,PPS"
"437",91051,"https://dadosabertos.camara.leg.br/api/v2/orgaos/91051","BPST","Bancada do PST","Bancada do PST",81000,"Bancada","Bancada do PST"
"438",96226,"https://dadosabertos.camara.leg.br/api/v2/orgaos/96226","BMDB/PP/PT","Bancada do MDB/PP/PTB/DEM/PRB/SD/PSC/PHS/PODE/PMN/PRP/PSDC/PATRI/PRTB","Bancada do MDB/PP/PTB/DEM/PRB/SD/PSC/PHS/PODE/PMN/PRP/PSDC/PATRI/PRTB",81000,"Bancada","Bancada do MDB/PP/PTB/DEM/PRB/SD/PSC/PHS/PODE/PMN/PRP/PSDC/PATRI/PRTB"
"439",96227,"https://dadosabertos.camara.leg.br/api/v2/orgaos/96227","BPT/PSD/PR","Bancada do PT/PSD/PR/PROS/PCdoB","Bancada do PT/PSD/PR/PROS/PCdoB",81000,"Bancada","Bancada do PT/PSD/PR/PROS/PCdoB"
"440",96228,"https://dadosabertos.camara.leg.br/api/v2/orgaos/96228","BPSDB/PSB/","Bancada do PSDB/PSB/PPS/PV","Bancada do PSDB/PSB/PPS/PV",81000,"Bancada","Bancada do PSDB/PSB/PPS/PV"
"441",96229,"https://dadosabertos.camara.leg.br/api/v2/orgaos/96229","BPDT","Bancada do PDT","Bancada do PDT",81000,"Bancada","Bancada do PDT"
"442",96230,"https://dadosabertos.camara.leg.br/api/v2/orgaos/96230","BPSOL","Bancada do PSOL","Bancada do PSOL",81000,"Bancada","Bancada do PSOL"
"443",96231,"https://dadosabertos.camara.leg.br/api/v2/orgaos/96231","BPTC","Bancada do PTC","Bancada do PTC",81000,"Bancada","Bancada do PTC"
"444",96232,"https://dadosabertos.camara.leg.br/api/v2/orgaos/96232","BPSL","Bancada do PSL","Bancada do PSL",81000,"Bancada","Bancada do PSL"
